Frequency_Hz,PSD_U_P1,PSD_U_P2,PSD_U_P3,PSD_U_P4,PSD_U_P5,PSD_U_P6,PSD_U_P7,PSD_U_P8
13.828125,6.53419378499793e-09,1.25982116953661e-07,2.03939237247407e-07,2.81747437604067e-07,1.79543231520811e-07,1.50426083099545e-07,5.93567043681186e-08,1.62399676544501e-10
13.9453125,6.31706729222472e-09,1.23452678683388e-07,1.76764544498318e-07,2.12960768438095e-07,2.67906242522582e-07,1.61834578206143e-07,7.85420400208206e-08,2.50327305999802e-10
14.0625,6.1535270288946e-09,1.15285346995749e-07,1.84482679687683e-07,1.39775171044989e-07,3.5510642398605e-07,1.53858662441635e-07,8.43732192510307e-08,2.95504167199335e-10
14.1796875,5.87699125637171e-09,1.10704928365678e-07,2.68235219450292e-07,9.96347002563195e-08,4.47993295375813e-07,1.22411639487873e-07,7.46844785291709e-08,2.85107575398108e-10
14.296875,5.70864384948839e-09,1.12526962697619e-07,4.54890939220591e-07,9.98015221873638e-08,4.93551191309249e-07,9.04151271381169e-08,6.49663049150557e-08,3.02332912343488e-10
14.4140625,5.76403453144136e-09,1.23637684284737e-07,6.35677066754413e-07,1.37579259592913e-07,4.32532530335882e-07,1.04578885355334e-07,7.24375855195254e-08,3.1967098615807e-10
14.53125,5.67841041617461e-09,1.39308666513595e-07,6.29428037453928e-07,1.78147762778237e-07,3.31274826163245e-07,1.69889665455271e-07,9.52758623012928e-08,2.5602979236032e-10
14.6484375,5.24680447015876e-09,1.42407300238705e-07,4.60711486128645e-07,1.82923489530805e-07,2.82426168102335e-07,2.31772049249287e-07,1.14488906173286e-07,1.8403995916406e-10
14.765625,4.65196261881286e-09,1.28039404041769e-07,3.23597494226401e-07,1.91445342213214e-07,2.87546971774617e-07,2.44541151923995e-07,1.1801447992077e-07,1.80646815782324e-10
14.8828125,4.17462847752488e-09,1.11660250304868e-07,2.76071805845019e-07,2.62429361617166e-07,3.33996207398199e-07,2.17535650597652e-07,1.0844460012022e-07,1.87278071324717e-10
15,1.99902899365632e-09,5.27670287688352e-08,1.32932267995701e-07,1.57933844350401e-07,1.84263072638994e-07,9.95994589851586e-08,5.06879314285516e-08,9.00350171250975e-11
